Playlist Link,Track URL,Source,Collection
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/4kx4lrHFE2m2IFUM0UBpjX?si=1a629e0c98144820,Raun Music,"94,590"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/3YZuspUzpvDinN4EOKP74R?si=a8a2f1e877904494,Catch Your Breath,"45,213"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/0MWBHb01XdwooF9feEts1c?si=02c73d02c4f14e8f,JaKe X,"16,945"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/3WI9atveKnqoAgGLSakDeF?si=0382d659f2f949ba,Khb Music,"8,604"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/2vS3bAJuAoqc0jVcyYsMzx?si=4d5497ed6a614839,Phonopolis Records,"4,196"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/491lLCbb7fFmeUnyGQINEo?si=68e62fb7371a4137,Dojo,"31,934"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/0WMc56Qk7VI8e4envWaehw?si=2d3ab404a90046b7,Independent,"3,752"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/0zCMYoNGNqemNjoOuMbaQV?si=500c86b6c315424b,1099955 Records DK,"3,834"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/0O4HCNhENJUtps9FMOfQFM?si=c032e8230fc04433,Independent,"2,159"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/1ceqd6mP7vbSRdY9CIoJuj?si=35a477216fd34aa7,Tribe One Three,"32,783"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/25YgLrNGat8rXThZImFjLD?si=92f348ea5f5e4e66,Good Boys Don't Cry,"1,424"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/3q0GwGdvdQ3JPfkwTo2K5Z?si=3ba1a91f84604164,2575683 Records DK2,"36,486"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/5QqeSOk7aateehJ3ciBR5J?si=e2ecf2cf940a4be3,1403079 Records DK,"198,698"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/4RHOEMS5cBkKA9UjkQ5m9a?si=b98e7cbaffc24ef0,AudioNeverDies Inc,"60,893"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/4b4Okb2zE4VqNvj1MzKMpL?si=209dda76af3e4f6e,recordJet,"15,850"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/5hn7T4KKnBOob4jYJnAAG4?si=b2429fade61b4526,Stoked and Broke Records,"8,596"
